id;m_id;s_id;self_rating;years_of_exp;trainings_delivered;facilities_offered
1;1;1;95071;18343;multi-byte Savings Account Dam;Practical Fresh Pants
2;2;2;70807;65088;Tasty Metal Bacon;red Chips Soap
3;2;1;52475;706;Home Namibia;Steel zero administration
4;3;3;45606;9060;Savings Account syndicate Planner;Refined Rubber Chicken Table
5;3;4;94888;94220;South Dakota envisioneer Music;Nakfa
6;4;4;12203;60999;backing up Salad;Digitized invoice
7;4;5;52006;20794;Georgia Industrial;connect Markets Chief
8;59789;72727;92187;32654;Georgia;Tasty Plastic Pizza scale
9;27134;53969;82873;58675;Specialist Home Loan Account;Plastic
10;80219;16526;7455;1563;deliverables reinvent 24 hour;overriding
